id,name,city,county,state,is_village,description,image,latitude,longitude,walkscore,num_of_properties,num_of_airbnb_properties,num_of_traditional_properties,median_price,price_per_sqft,mashMeter,mashMeterStars,avg_occupancy,strategy,airbnb_rental.roi,airbnb_rental.cap_rate,airbnb_rental.rental_income,airbnb_rental.rental_income_change,airbnb_rental.rental_income_change_percentage,airbnb_rental.night_price,airbnb_rental.occupancy,airbnb_rental.occupancy_change,airbnb_rental.occupancy_change_percentage,airbnb_rental.insights.bedrooms.slope,airbnb_rental.insights.bedrooms.RSquare,airbnb_rental.insights.price.slope,airbnb_rental.insights.price.RSquare,airbnb_rental.insights.stars_rate.slope,airbnb_rental.insights.stars_rate.RSquare,airbnb_rental.insights.bathrooms.slope,airbnb_rental.insights.bathrooms.RSquare,airbnb_rental.insights.beds.slope,airbnb_rental.insights.beds.RSquare,airbnb_rental.insights.reviews_count.slope,airbnb_rental.insights.reviews_count.RSquare,traditional_rental.roi,traditional_rental.cap_rate,traditional_rental.rental_income,traditional_rental.rental_income_change,traditional_rental.rental_income_change_percentage,traditional_rental.night_price,traditional_rental.occupancy,traditional_rental.occupancy_change
403302,Cabrini Green,Chicago,Cook County,IL,0,,https://9ac82074a42d61a93c2a-4910baab8d3df1a59178432e0b86512c.ssl.cf5.rackcdn.com,41.900126,-87.640933,94,41,337,120,449000,419.05,84.21,5,67.1929,airbnb,1.7507412298804237,10.94804904997216,4096.39501953125,down,-13.3501110677267,136.54650065104167,67.1929,down,-6.665808776219268,-1,-1,-0.0001817889746991,0.014633943314804,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,1.1053150815090962,7.361345211581292,2754.37,down,-0.1163340557068893,91.81233333333331,91.5,
403298,Goose Island,Chicago,Cook County,IL,0,,,41.903617,-87.654007,61,6,326,96,370000,391.38,65.89,3,67.2055,traditional,1.7531020442644756,10.392339131123313,3204.3045654296875,down,-16.296836239618234,106.8101521809896,67.2055,down,-11.96854263946915,-1,-1,-0.000163798170306,0.0123306158453543,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,2.863938252131144,8.230203243243242,2537.646,up,2.3621589874986224,84.58819999999999,91.5,
403313,Fulton River District,Chicago,Cook County,IL,0,,,41.889185,-87.645521,97,24,326,254,482000,420.64,86.46,5,65.2485,traditional,0.9609261365234852,8.439110537960321,3389.709399414063,down,-13.263984590192852,112.99031331380208,65.2485,down,-9.510086455331416,-1,-1,-0.0002485908821161,0.0246523920506311,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,1.0906196919828652,6.887327800829874,2766.41,down,-1.623856003686959,92.21366666666668,91.5,
269589,Lake View,Chicago,Cook County,IL,0,"<p>Lakeview is located around the shoreline and is one of the most accessible and lively neighborhoods in Chicago. East Lakeview, Central Lakeview, Boystown and Wrigleyville are all distinct areas that merge into this neighborhood, giving visitors a diverse experience with every turn they take.&nbsp;Investing in real estate in this area would undoubtedly be a&nbsp;smart move.</p>

<p>The popular shopping spots are Belmont Avenue, Lincoln Avenue, Southport Avenue, Clark Street, Halsted Street, and Broadway Street. Among these you can find vintage dresses, designer clothes, and even biker gear. For fun, there&rsquo;s no shortage of live music venues and several summer street festivals take place here. Theater, dance, and comedy can all be found here with <a href=""http://btdchicago.com/"">Belmont Theater District</a> in the area.</p>

<p>Finally, for the nature lovers, Lincoln Park is not far away from you. <a href=""http://www.tripadvisor.com/Attraction_Review-g35805-d4226139-Reviews-Lakefront_Trail-Chicago_Illinois.html"">Lakefront Trail</a> is a small portion of the park located in the neighborhood. You can also find a golf course, driving range, boat harbor, bird sanctuary, tennis court, and grassy field for picnics and taking in the views.</p>
",https://9ac82074a42d61a93c2a-4910baab8d3df1a59178432e0b86512c.ssl.cf5.rackcdn.com,41.943511,-87.668225,95,43,321,204,525000,336.58,84.58,5,64.3427,airbnb,2.339504390954972,6.907746540178571,3022.1391113281247,down,-7.525709768897307,100.73797037760416,64.3427,up,3.287949015063725,-1,-1,-1.0,-1.0,0.1506616989567726,0.0144740928213805,-1,-1,-1,-1,-1.0,-1.0,0.7507252582264218,4.606370285714285,2015.287,up,0.4562003772426218,67.17623333333333,91.5,
269597,Near North,Chicago,Cook County,IL,0,,https://9ac82074a42d61a93c2a-4910baab8d3df1a59178432e0b86512c.ssl.cf5.rackcdn.com,41.895824,-87.631525,99,238,302,1113,449000,444.38,81.35,5,65.0662,airbnb,1.1612521295555027,12.584899255289534,4708.8498046875,down,-14.148434602955977,156.96166015625002,65.0662,down,-3.336472487555501,-1,-1,-0.0001669811106067,0.0156085037082026,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,0.6558472499951782,10.78411937639198,4035.058,up,0.7772946869551512,134.50193333333334,91.5,
403309,West De Paul,Chicago,Cook County,IL,0,,,41.928816,-87.66584,90,42,293,151,679000,352.99,89.95,5,66.2799,airbnb,1.1417873928412086,5.702735180412372,3226.7976562500003,down,-4.285237104959762,107.559921875,66.2799,up,1.98774676650782,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,0.2903411958277935,3.88219970544919,2196.678,down,-0.4828085414404685,73.2226,91.5,
403311,East Ukrainian Village,Chicago,Cook County,IL,0,,https://9ac82074a42d61a93c2a-4910baab8d3df1a59178432e0b86512c.ssl.cf5.rackcdn.com,41.899625,-87.67231,96,48,288,187,537000,358.89,84.95,5,67.0278,airbnb,1.462874746900432,6.061854814071229,2712.680029296875,down,-12.178996194829637,90.42266764322918,67.0278,down,-13.636363636363638,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-0.0002779885843006,0.0207190891077294,1.413427484563875,4.599468156424581,2058.262,down,-0.3099777978402296,68.60873333333332,91.5,
403310,Noble Square,Chicago,Cook County,IL,0,,https://9ac82074a42d61a93c2a-4910baab8d3df1a59178432e0b86512c.ssl.cf5.rackcdn.com,41.90336,-87.663025,86,28,284,207,467000,341.61,67.35,3,68.1866,airbnb,2.711164795119187,7.59512638851713,2955.77001953125,down,-13.429299637434038,98.52566731770834,68.1866,down,-12.914178667603329,-1,-1,-1.0,-1.0,0.1066257861635059,0.0140406658357539,-1,-1,-1,-1,-0.0002750415915013,0.0192893670264128,1.136636386629483,4.502973019271948,1752.407,up,1.8614448867229727,58.41356666666666,91.5,
403307,Wrightwood Neighbors,Chicago,Cook County,IL,0,,https://9ac82074a42d61a93c2a-4910baab8d3df1a59178432e0b86512c.ssl.cf5.rackcdn.com,41.928963,-87.65616,95,64,283,356,594950,361.39,84.85,5,66.5053,airbnb,1.91902518257848,6.293527604079125,3120.2785400390626,up,0.6772138749276222,104.00928466796876,66.5053,up,7.508630609896431,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,1.0617514753248545,4.266874863433902,2115.481,up,0.6531693558516839,70.51603333333333,91.5,
403322,West Loop Gate,Chicago,Cook County,IL,0,,https://9ac82074a42d61a93c2a-4910baab8d3df1a59178432e0b86512c.ssl.cf5.rackcdn.com,41.880646,-87.641517,97,38,281,180,309750,308.46,85.96,5,62.0641,airbnb,2.189815178131446,13.093866714588378,3379.854345703125,down,-10.6502690181393,112.6618115234375,62.0641,down,-6.8754977435625255,-1,-1,-0.00024110202184494112,0.01372235007042677,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,1.9788956229503338,9.953789830508475,2569.322,up,0.17841936661125649,85.64406666666667,91.5,
